,text
682, inspection general manager scrly accompanied by carried out rear window inspection between kazipet jn ramagundam section secunderabad division today along with officials 
683, i am travelling from patna to delhi by train name new delhi rajdhani festival special the quality of food is so poor and seems to be unhealthy this is affecting the image of indian railways and irctc 
684, sir train no 15231 barauni gondia exp is running late at raipur jn more than 7 hrs today standing on outer more than 2 hours at bilaspur cabin pnr 6510401428 mob 9423400693
685, train no 09065 this is special train amp its fare is also more jyda kuch ny bss 6 hrs late hai thank u
686, i am booking ticket in online conform ticket then i am cancelled ticket cancelled charge how much for sleeper
687, no water coach no b9 new delhi dibrugardh rajdhani express train no 20504 pnr no 2150919269
688, you are taking extra money in the name of special trains and not giving blanket and bed sheet my pnr is 4759202052 even 139 is not available rail madad is also not helping 
689, after 16 00 hrs there is no train from kcg to scp until next day but there is 1 train 07594 available kcg to nzb at 18 50 hrs kindly issue the order for stoppage this train station 
690, sir train no 15231 barauni gondia exp is running late at raipur jn more than 7 hrs today standing on outer more than 2 hours at bilaspur cabin pnr 6510401428 mob 9423400693 
691, ya ya bjp followers gonna burn anyways thanks for sending condolences for the dead btw 
692, yes with all corrupt politicians it has come in the hands of common tax payer to do the justice and rewamp the whole system 
693, need to improve numbers jain mlas mps and in administration services
694,train no 06291 it suppose to departure kr puram at 7 30pm not yet came and yesterday 3hrs delayed let me know today how many hrs need to start shame on dear kindly change minister no use after became minister in this ministry 
695, uts no x t6wdd805f train no 06291 smvb kpn memu why this train is daily late feedback from your side is pairing train is dealyed why that delayed train is pairing when this problem will be solved permanently srinivasa chary kk
696, sir train no 15231 barauni gondia exp is running late at raipur jn more than 7 hrs today standing on outer more than 2 hours at bilaspur cabin pnr 6510401428 mob 9423400693 
697, whatever it is terminology run over is correct even if it s either s fault 
698, pnr 6707423118 pune hamsafar train started from santragachi on time and reached pune delayed by more than 10 hours missed my office and want 100 ticket amount refund ticket booked online refund amount to be credited into source bank account 
699, we never expect good and quality service from railway contractor packed used bedsheet and pillow so many wrinkles spot and even spit unhygenic totally no one is responsible train no 22823 8 nov 
